Date,Tweet_id,User_name,Screen_name,Location,Tweet
01-04-2010,1.12247e+18,b'TOI Sports',b'toisports',"b'New Delhi, India'",b'#IPL2019 | Match 46 | #DCvRCB | @DelhiCapitals | @RCBTweets\n\nFIFTY!\n\nShreyas Iyer hits a six to bring up his 13th I\xe2\x80\xa6 https://t.co/9rM49s75b7'
28-11-2008,1.12247e+18,b'DNA',b'dna',b'India',"b""#ICYMI | @rajasthanroyals' Ashton Turner finally scored a run after 5 ducks and Twitter erupted\n\n#IPL2019 #RRvSRH\xe2\x80\xa6 https://t.co/cxfofaqV9v"""
29-07-2008,1.12247e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'",b'Shreyas Iyer brings up his half-century with a MAXIMUM\n\n#DC 126/2 after 14.3 overs https://t.co/RrdepQeeNg'
04-09-2009,1.12247e+18,b'CricketNDTV',b'CricketNDTV',b'India',"b""IPL 2019: SIX! After Shikhar Dhawan's fall Shreyas Iyer has taken over the aggressor's role\n\n#DCvsRCB \n#DCvRCB\xe2\x80\xa6 https://t.co/nAtK2rrhRi"""
01-12-2010,1.12247e+18,b'bet365',b'bet365',b'',"b'Most runs in the IPL since 2016:\n\nVirat Kohli - 2,211\nDavid Warner - 2,100\nShikhar Dhawan - 1,927\n\n#IPL2019 https://t.co/50i5ASldZC'"
05-05-2009,1.12247e+18,b'Saurabh Malhotra',b'MalhotraSaurabh',"b'Dubai, United Arab Emirates'",b'RT @cricvizanalyst: Shikhar Dhawan - Runs in the last four IPL seasons\n\n2016 - 501\n2017 - 479\n2018 - 496\n2019 - 451\n\nSince the start of IPL\xe2\x80\xa6'
09-01-2013,1.12247e+18,b'IndiaTodayFLASH',b'IndiaTodayFLASH',b'',b'RT @ITGDsports: #IPL2019 #DCvRCB WICKET! Shikhar Dhawan c Sundar b Chahal 50 (37 balls). Delhi Capitals 103/2 (12.2 overs) vs Royal Challen\xe2\x80\xa6'
02-02-2009,1.12247e+18,b'India Today',b'IndiaToday',b'India',b'RT @ITGDsports: #IPL2019 #DCvRCB WICKET! Shikhar Dhawan c Sundar b Chahal 50 (37 balls). Delhi Capitals 103/2 (12.2 overs) vs Royal Challen\xe2\x80\xa6'
29-07-2008,1.12246e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 13.6: W Sundar to R Pant, 4 runs, 114/2 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
01-10-2008,1.12246e+18,b'CricketNext',b'cricketnext',b'India',"b'OUT! Chahal has the big wicket of Dhawan who is caught trying to sweep one.\n\nIn walks, Rishabh Pant.\n\n#DC 105/2 aft\xe2\x80\xa6 https://t.co/NsyYAWfdLZ'"
